"multivariate.odds.ratio","multivariate.lower.bound","multivariate.upper.bound","multivariate.p.value"
"StateNJ",0.988,0.692,1.413,0.949
"StateNM",1.513,0.736,3.113,0.26
"StateNV",0.906,0.542,1.513,0.705
"StateOH",1.077,0.791,1.467,0.637
"StateOK",1.044,0.676,1.613,0.845
"StateOR",2.552,1.53,4.257,0
"StatePA",2.146,1.656,2.782,0
"StateSC",0.927,0.592,1.45,0.739
"StateSD",0,0,1.45712747525817e+242,0.962
"StateTN",0.598,0.399,0.897,0.013
"StateTX",0.929,0.627,1.374,0.711
"StateUT",0,0,Inf,0.992
"StateVA",1.506,1.052,2.155,0.025
"StateVT",0,0,Inf,0.986
"StateWA",0.965,0.562,1.656,0.897
"StateWI",1.5,0.952,2.363,0.08
"StateWV",0.726,0.434,1.216,0.224
"StateWY",0,0,Inf,0.982
