"multivariate.odds.ratio","multivariate.lower.bound","multivariate.upper.bound","multivariate.p.value"
"Beds51-100",1.071,1.037,1.105,0
"CMI",0.981,0.951,1.012,0.227
"StateAK",1.335,1.034,1.725,0.027
"StateAL",0.723,0.669,0.78,0
"StateAR",0.665,0.612,0.722,0
"StateAZ",1.039,0.992,1.089,0.104
"StateCA",0.949,0.915,0.984,0.005
"StateCO",0.841,0.778,0.909,0
"StateCT",1.235,1.166,1.309,0
"StateDE",0.825,0.72,0.945,0.005
"StateFL",0.922,0.894,0.952,0
"StateGA",0.881,0.829,0.935,0
"StateHI",1.219,1.136,1.309,0
"StateIA",1.298,1.216,1.386,0
"StateID",1.488,0.693,3.197,0.308
"StateIL",1.087,1.044,1.131,0
"StateIN",1.095,1.033,1.161,0.002
"StateKS",0.685,0.626,0.75,0
"StateKY",1.225,1.167,1.287,0
"StateLA",1.287,1.194,1.388,0
"StateMA",0.962,0.899,1.031,0.275
"StateMD",0.95,0.897,1.007,0.083
"StateME",1.372,0.563,3.347,0.487
"StateMI",1.027,0.987,1.069,0.182
"StateMN",2.077,1.93,2.234,0
"StateMO",0.902,0.833,0.977,0.012
"StateMS",0.992,0.936,1.052,0.796
"StateMT",0.848,0.749,0.96,0.009
"StateNC",1.244,1.199,1.29,0
"StateND",1.723,1.469,2.022,0
"StateNE",1.808,1.643,1.99,0
"StateNH",0.514,0.265,0.996,0.049
"StateNJ",0.874,0.83,0.921,0
"StateNM",0.839,0.763,0.921,0
"StateNV",0.873,0.815,0.936,0
"StateOH",1.356,1.306,1.408,0
"StateOK",1.35,1.277,1.426,0
"StateOR",1.881,1.784,1.984,0
"StatePA",1.439,1.389,1.492,0
"StateRI",2.763,0.977,7.813,0.055
"StateSC",1.08,1.028,1.135,0.002
"StateSD",1.393,1.233,1.573,0
"StateTN",0.826,0.79,0.865,0
"StateTX",1.247,1.203,1.292,0
"StateUT",0.881,0.433,1.789,0.726
"StateVA",1.365,1.309,1.422,0
"StateVT",0.853,0.601,1.211,0.373
"StateWA",1.281,1.215,1.352,0
"StateWI",1.496,1.426,1.569,0
"StateWV",0.981,0.93,1.036,0.492
"StateWY",1.471,1.104,1.96,0.008
